architecture,xml,successful_baselines_required,baseline_attempts,baseline_failures,baseline_success_rate,median_ms,mean_ms,stdev_ms,mad_ms,noise_band_ms,successful_mission_times_ms
CENTRALISED,sysj/coordinator.xml,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,13636.572700;14020.131300;14292.586500;14256.428700;14280.555500;14320.440200;12688.805200;10183.543800;10179.583900;10192.593000
DECOMPOSED_3CD,sysj/IntegratedCoordinatorAcceptance_3CD.xml,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,13721.926200;14341.703600;14352.584100;14410.811600;14362.595200;14338.912300;14336.284700;14367.473600;14350.259400;14322.731700
