target,architecture,fault_attempts,actual_injections,drained_after_injection,faults_after_injection,pooled_mission_success_given_injection,pooled_success_ci95_low,pooled_success_ci95_high,pooled_mission_failure_given_injection,pooled_failure_ci95_low,pooled_failure_ci95_high,event_balanced_mean_success_probability,event_balanced_mean_failure_probability,median_event_failure_probability,pre_event_failures,pre_event_failure_rate_per_attempt,median_actual_down_ms,p95_abs_down_error_ms,median_halt_start_lag_ms,median_drained_remaining_time_ms,worst_event,worst_event_failure_probability,worst_event_actual_injections
COORDINATOR,CENTRALISED,280,248,233,15,0.9395161290322581,0.9026170547496154,0.9630069017698372,0.06048387096774194,0.03699309823016291,0.09738294525038468,0.9387218045112782,0.06127819548872181,0.0,32,0.11428571428571428,500.75275,1.875854999999972,0.0,6049.2661,FILLER_DONE#1,0.25,16
BATCH,DECOMPOSED_3CD,280,255,240,15,0.9411764705882353,0.9052263453774707,0.964031620580228,0.058823529411764705,0.035968379419772004,0.0947736546225293,0.9430868838763575,0.056913116123642436,0.05,25,0.08928571428571429,500.7451,1.8724900000000047,0.0,5553.893550000001,LID_DONE#1,0.16666666666666666,18
PRODUCTION,DECOMPOSED_3CD,280,253,223,30,0.8814229249011858,0.8357713183913673,0.9156649991181705,0.11857707509881422,0.08433500088182952,0.16422868160863263,0.8891164799253034,0.11088352007469654,0.06066176470588235,27,0.09642857142857143,500.77,1.9202800000000138,0.0,4980.4818,CONVEYOR_DONE#1,0.35,20
SAFETY,DECOMPOSED_3CD,280,253,239,14,0.9446640316205533,0.9092720084329333,0.9667547865911392,0.05533596837944664,0.033245213408860746,0.09072799156706662,0.9482456140350877,0.05175438596491228,0.05131578947368421,27,0.09642857142857143,500.645,400.4336599999999,0.0,5552.2721,LOADER_DONE#1,0.2,20
